name,score
John Smith,83.81705050239248
Emily Chen,85.37747533049883
Jamal Washington,83.68118276113422
Maria Garcia,86.2607460699814
David Cohen,85.46446684820167
Aisha Patel,83.81439786082431
Wei Zhang,86.47507049322351
Liam O'Connor,85.06246332682173
Fatima Al-Fassi,86.41631201781969
Carlos Ruiz,84.22529942830187
Priya Sharma,85.791350611286
Mohammed Ali,86.28295218523984
Yuki Tanaka,85.16628749804383
Sophie Martin,83.61982634438733
Kwame Osei,83.91566754271452
Olga Ivanova,85.9535850400635
Rajesh Kumar,84.56960057828431
Chloe Dupont,85.8816234064603
Amir Khan,84.09103100959041
Nina Rossi,85.27890509235958
John Smith,84.54821522072882
Emily Chen,85.23776057470428
Jamal Washington,84.55618586349512
Maria Garcia,85.04310110857226
David Cohen,86.25654391666961
Aisha Patel,86.47179954633647
Wei Zhang,84.61090207927982
Liam O'Connor,85.73513278453164
Fatima Al-Fassi,85.53899933465351
Carlos Ruiz,84.7145409357877
Priya Sharma,86.19063608310898
Mohammed Ali,84.15157464961024
Yuki Tanaka,84.13873791503096
Sophie Martin,85.95424705825113
Kwame Osei,86.12009322988241
Olga Ivanova,83.75716194844145
Rajesh Kumar,85.44060815065362
Chloe Dupont,84.09969538269381
Amir Khan,86.2274730704737
Nina Rossi,84.93079171253595
John Smith,84.03633392197563
Emily Chen,85.69776315845752
Jamal Washington,85.36457753909492
Maria Garcia,83.87614010277653
David Cohen,84.6166672495245
Aisha Patel,83.8548425786925
Wei Zhang,84.94703385712134
Liam O'Connor,84.33700103352551
Fatima Al-Fassi,86.39078227807614
Carlos Ruiz,84.55460184468451
Priya Sharma,83.9918111833855
Mohammed Ali,85.61983145336883
Yuki Tanaka,84.74503840265857
Sophie Martin,85.55550225522748
Kwame Osei,86.08831783966893
Olga Ivanova,85.49618115025957
Rajesh Kumar,84.19887519358937
Chloe Dupont,86.28091141642099
Amir Khan,85.89759220037226
Nina Rossi,84.06852860479425
John Smith,85.18701439553774
Emily Chen,85.64869977097484
Jamal Washington,85.57267326985851
Maria Garcia,84.67112514568363
David Cohen,85.83296065932245
Aisha Patel,85.0953579383654
Wei Zhang,83.85006563128674
Liam O'Connor,85.96451406001374
Fatima Al-Fassi,84.78808776481529
Carlos Ruiz,85.64417353555726
Priya Sharma,83.60391810118861
Mohammed Ali,85.54213246768502
Yuki Tanaka,83.73953868124117
Sophie Martin,84.06743227211719
Kwame Osei,85.168876679006
Olga Ivanova,86.01893965517019
Rajesh Kumar,86.07328273613047
Chloe Dupont,86.33124489241801
Amir Khan,84.1359798361899
Nina Rossi,84.1981536939041
John Smith,85.85164330432315
Emily Chen,85.74390776009209
Jamal Washington,85.54800576189518
Maria Garcia,85.31410628945949
David Cohen,84.53695452147313
Aisha Patel,83.97421848611731
Wei Zhang,83.63609894950362
Liam O'Connor,84.50914388378578
Fatima Al-Fassi,85.79462688927255
Carlos Ruiz,83.79058378592909
Priya Sharma,85.87821552996704
Mohammed Ali,83.65100490008479
Yuki Tanaka,84.4247988412979
Sophie Martin,84.73912007976901
Kwame Osei,86.48274639468502
Olga Ivanova,86.43165129240583
Rajesh Kumar,85.62684143136747
Chloe Dupont,85.39137735366599
Amir Khan,85.4620764107547
Nina Rossi,83.75274627139471
