idx,tokenize_ms,embed_ms,cosine_ms,skill_ms,total_ms
0,0.136,210.615,0.0818,0.361,211.194
1,0.222,149.4,0.0766,0.48,150.179
2,0.181,161.111,0.0832,0.538,161.912
3,0.215,149.673,0.0716,0.502,150.462
4,0.145,108.818,0.0835,0.541,109.588
5,0.216,135.633,0.0845,0.632,136.565
6,0.201,106.036,0.0835,0.583,106.904
7,0.225,116.432,0.0811,0.535,117.274
8,0.216,63.994,0.0851,0.62,64.915
9,0.234,136.724,0.0897,0.709,137.757
10,0.257,128.036,0.1085,0.752,129.154
11,0.293,158.739,0.0995,0.707,159.838
12,0.23,126.99,0.1014,0.65,127.972
13,0.26,124.657,0.0916,0.665,125.673
14,0.27,122.428,0.0863,0.623,123.407
15,0.249,118.544,0.078,0.511,119.383
16,0.193,122.685,0.0791,0.525,123.481
17,0.212,57.501,0.0877,0.629,58.43
18,0.255,60.765,0.0832,0.595,61.699
19,0.251,60.598,0.0804,0.556,61.485
20,0.159,109.516,0.0877,0.603,110.366
21,0.234,128.45,0.0875,0.667,129.439
22,0.253,140.538,0.119,0.554,141.465
23,0.212,138.622,0.0969,0.687,139.618
24,0.228,159.577,0.0893,0.681,160.575
25,0.277,160.115,0.0918,0.705,161.19
26,0.279,149.936,0.0878,0.663,150.967
27,0.263,148.375,0.091,0.605,149.335
28,0.234,143.746,0.1047,0.633,144.718
29,0.194,26.846,0.0781,0.235,27.353
30,0.246,129.71,0.0854,0.592,130.632
31,0.228,132.055,0.0765,0.625,132.984
32,0.218,119.897,0.0793,0.554,120.749
33,0.234,134.173,0.081,0.542,135.03
34,0.237,126.818,0.1083,0.687,127.85
35,0.263,135.543,0.0851,0.602,136.494
36,0.213,106.318,0.0804,0.54,107.151
37,0.192,117.927,0.1302,0.678,118.927
38,0.259,140.934,0.0807,0.576,141.85
39,0.191,112.179,0.0908,0.695,113.156
40,0.177,106.107,0.0862,0.382,106.752
41,0.256,126.076,0.0862,0.62,127.037
42,0.246,63.92,0.1202,0.632,64.917
43,0.225,54.596,0.0994,0.624,55.544
44,0.141,79.517,0.0975,0.682,80.438
45,0.279,64.468,0.0828,0.568,65.399
46,0.238,127.766,0.0856,0.615,128.705
47,0.279,141.597,0.0937,0.77,142.739
48,0.256,61.944,0.0718,0.48,62.752
49,0.191,134.918,0.0827,0.59,135.782
50,0.247,141.396,0.0826,0.58,142.305
51,0.171,90.977,0.0704,0.489,91.708
52,0.196,56.606,0.0834,0.549,57.434
53,0.261,129.021,0.0895,0.714,130.086
54,0.177,86.141,0.0939,0.522,86.934
55,0.25,62.159,0.0823,0.728,63.22
56,0.167,100.696,0.0819,0.544,101.488
57,0.212,125.771,0.0872,0.686,126.756
58,0.223,116.057,0.0916,0.538,116.911
59,0.276,56.328,0.083,0.578,57.265
60,0.212,120.369,0.087,0.496,121.164
61,0.246,158.069,0.09,0.686,159.09
62,0.203,53.998,0.1168,0.646,54.963
63,0.207,110.762,0.0834,0.558,111.611
64,0.226,155.897,0.1188,0.733,156.975
65,0.251,142.93,0.093,0.64,143.914
66,0.242,148.089,0.0796,0.558,148.968
67,0.209,153.871,0.0894,0.64,154.81
68,0.231,130.934,0.1031,0.63,131.898
69,0.259,53.274,0.0913,0.648,54.272
70,0.192,95.824,0.085,0.575,96.677
71,0.208,59.204,0.0873,0.6,60.099
72,0.202,58.621,0.0897,0.658,59.571
73,0.236,61.399,0.0847,0.6,62.319
74,0.153,84.615,0.0914,0.681,85.541
75,0.195,32.545,0.0886,0.377,33.206
76,0.274,139.694,0.086,0.636,140.689
77,0.266,136.899,0.0733,0.521,137.759
78,0.154,59.327,0.0849,0.564,60.13
79,0.233,122.741,0.1062,0.587,123.668
80,0.22,141.461,0.0832,0.577,142.341
81,0.15,103.838,0.0885,0.26,104.336
82,0.277,144.964,0.1002,0.845,146.186
83,0.175,67.789,0.086,0.573,68.623
84,0.213,133.379,0.0941,0.736,134.422
85,0.232,70.526,0.0909,0.663,71.512
86,0.245,137.001,0.1049,0.639,137.99
87,0.192,95.646,0.1051,0.578,96.521
88,0.279,147.257,0.0897,0.681,148.306
89,0.284,129.12,0.0868,0.58,130.071
90,0.196,121.83,0.0822,0.548,122.656
91,0.247,129.338,0.0914,0.695,130.37
92,0.211,54.825,0.0891,0.509,55.635
93,0.234,113.225,0.0904,0.598,114.147
94,0.222,63.821,0.098,0.727,64.868
95,0.166,20.537,0.0914,0.152,20.947
96,0.303,64.736,0.1042,0.566,65.709
97,0.18,31.758,0.0901,0.432,32.461
98,0.277,135.353,0.0866,0.633,136.349
99,0.264,137.504,0.0755,0.514,138.358
100,0.214,75.577,0.1015,0.66,76.552
101,0.267,66.609,0.0915,0.66,67.628
102,0.258,63.512,0.0925,0.677,64.539
103,0.234,156.8,0.0877,0.601,157.722
104,0.287,148.426,0.0869,0.666,149.466
105,0.259,66.318,0.0754,0.556,67.207
106,0.113,81.485,0.0967,0.691,82.386
107,0.255,60.163,0.0874,0.554,61.059
108,0.21,135.326,0.1128,0.694,136.342
109,0.27,146.684,0.0878,0.629,147.67
110,0.242,142.203,0.0872,0.595,143.128
111,0.248,125.131,0.0848,0.583,126.046
112,0.213,69.494,0.1762,0.814,70.697
113,0.293,136.516,0.0945,0.713,137.616
114,0.22,63.901,0.0964,0.715,64.933
115,0.24,142.893,0.0934,0.682,143.909
116,0.241,63.78,0.0977,0.778,64.896
117,0.281,62.476,0.1655,0.671,63.593
118,0.206,37.28,0.0895,0.462,38.037
119,0.195,94.609,0.0904,0.592,95.486
120,0.223,63.548,0.0862,0.614,64.471
121,0.227,55.316,0.0943,0.666,56.304
122,0.279,134.566,0.092,0.681,135.617
123,0.285,57.607,0.094,0.676,58.662
124,0.167,84.19,0.0928,0.121,84.571
125,0.282,140.418,0.0884,0.601,141.39
126,0.236,63.375,0.0958,0.541,64.248
127,0.286,66.251,0.0939,0.702,67.333
128,0.278,148.018,0.0922,0.659,149.047
129,0.25,153.706,0.0901,0.614,154.66
130,0.19,63.499,0.086,0.635,64.41
131,0.14,24.048,0.0866,0.23,24.504
132,0.265,146.606,0.0903,0.702,147.663
133,0.27,72.876,0.0763,0.539,73.761
134,0.224,61.872,0.0927,0.672,62.86
135,0.255,63.113,0.1182,0.691,64.177
136,0.172,37.964,0.0965,0.47,38.703
137,0.276,61.795,0.0945,0.703,62.868
138,0.274,70.119,0.1021,0.797,71.292
139,0.195,60.624,0.0843,0.56,61.464
140,0.235,122.411,0.0871,0.614,123.348
141,0.218,36.2,0.0868,0.412,36.916
142,0.26,62.997,0.0979,0.765,64.12
143,0.255,67.229,0.0847,0.603,68.172
144,0.236,62.201,0.0888,0.589,63.115
145,0.18,61.63,0.0941,0.679,62.583
146,0.253,67.223,0.092,0.639,68.207
147,0.305,156.872,0.0907,0.659,157.926
148,0.265,129.162,0.0961,0.7,130.223
149,0.304,73.066,0.0918,0.7,74.162
150,0.269,142.468,0.0932,0.738,143.568
151,0.26,80.472,0.0925,0.65,81.475
152,0.281,66.587,0.0889,0.619,67.576
153,0.239,55.23,0.0834,0.55,56.103
154,0.243,66.854,0.0853,0.647,67.829
155,0.247,65.127,0.101,0.647,66.122
156,0.263,56.817,0.0888,0.636,57.804
157,0.181,117.429,0.088,0.581,118.28
158,0.212,132.9,0.0869,0.601,133.8
159,0.257,65.699,0.095,0.722,66.773
160,0.182,91.28,0.0984,0.634,92.195
161,0.118,20.519,0.0831,0.128,20.848
162,0.259,149.469,0.091,0.702,150.521
163,0.245,63.507,0.086,0.593,64.431
164,0.245,63.384,0.0957,0.722,64.447
165,0.274,63.553,0.1054,0.812,64.744
166,0.275,132.809,0.0847,0.584,133.752
167,0.215,64.085,0.1009,0.648,65.049
168,0.262,67.369,0.1158,0.722,68.469
169,0.178,27.941,0.0933,0.275,28.487
170,0.263,121.209,0.099,0.664,122.234
171,0.268,58.044,0.0974,0.714,59.123
172,0.271,65.552,0.0868,0.6,66.51
173,0.237,134.0,0.0854,0.606,134.928
174,0.186,61.649,0.0975,0.694,62.626
175,0.269,65.077,0.0929,0.643,66.082
176,0.216,128.413,0.1015,0.734,129.465
177,0.275,66.953,0.1051,0.732,68.065
178,0.291,160.608,0.0976,0.748,161.744
179,0.288,135.932,0.087,0.624,136.931
180,0.228,139.056,0.0909,0.667,140.042
181,0.205,63.036,0.0954,0.651,63.988
182,0.174,104.253,0.0915,0.654,105.172
183,0.239,113.188,0.0915,0.481,114.0
184,0.261,58.864,0.0997,0.765,59.99
185,0.299,142.459,0.0907,0.643,143.492
186,0.233,59.532,0.0918,0.638,60.495
187,0.278,140.158,0.0997,0.8,141.336
188,0.286,67.41,0.0961,0.615,68.407
189,0.255,66.013,0.1032,0.709,67.08
190,0.276,138.463,0.0922,0.653,139.483
191,0.241,60.478,0.0992,0.758,61.576
192,0.331,69.165,0.0898,0.644,70.229
193,0.219,124.18,0.0867,0.606,125.091
194,0.282,66.953,0.0906,0.657,67.982
195,0.267,70.56,0.0916,0.643,71.562
196,0.264,160.718,0.1045,0.823,161.909
197,0.309,74.258,0.0995,0.731,75.397
198,0.304,73.722,0.1244,0.793,74.944
199,0.191,47.95,0.0963,0.363,48.601
