pair_id,job_title,full_job_description,full_resume_text,gold_standard_pct,ai_score_pct,error_margin
0,Marketing Specialist,seeking a team player who brings expertise in communicating via social media websites print publications and video production to increase awareness of our nonprofit mission at home for families we believe that families deserve and have a right to housing economic and educational stability our marketing specialist will own and complete projects that increase awareness of our mission leading to great engagement of our central ohio community in turn making the critical impact for strong and resilient families on the path to stabilty,"Computer skills: - Yes. SQL knowledge-yes Unix knowledge-yes Data warehouse knowledge-yes Ab intio -yee MY HOBBIES: - â¢ Playing Cricket, football. â¢ Reading books â¢ Visiting new places/Travelling. DECLARATION:- I hereby declare that the above mentioned information is factual and correct up to the best of my knowledge and belief. Date: -.27.01.2019 MR. MANISH PRABHAKAR PATIL Place: -MUMBAI Education Details 
June 2014 to June 2015 Bachelor's Electronics and Telecommunication  A C Patil college of Engineering
January 2009 to January 2011  Engineering Navi Mumbai, Maharashtra Bharati vidyapeeth
January 2008 H.S.C.  Mumbai, Maharashtra Khalsa college
ETL Informatica Developer 

ETL DEVELOPER
Skill Details 
ETL- Exprience - Less than 1 year months
Data Warehouse- Exprience - Less than 1 year months
Datastage- Exprience - Less than 1 year monthsCompany Details 
company - Reliance Infocomm
description - I havevbeen working as ETL Developer in reliance industries in India for the past 3y",5,12,7
1,Compliance Manager,"our work matters we help people get the medicine they need to feel better and live well we do not lose sight of that it fuels our passion and drives every decision we make

job posting title

compliance manager  mapd and pdp plans  remote

job description

the compliance manager works closely with designated business areas legal and other internal partners to identify changing laws and regulations accreditation standards and client contractual compliance obligations interpret the impact and manage solutions for designated business areas this position serves as a consultant to internal stakeholders regarding the development implementation and monitoring of compliance initiatives and helps to create a culture of compliance throughout the organization

responsibilities
 executes compliance procedures and enforces policy governance across the organization and assigned function to validate regulatory reporting requirements are met and that business operations are aligned with applicable reg","CORE COMPETENCIES â¢ Maintain processes to ensure project management documentation, reports and plans are relevant, accurate and complete â¢ Report automation, Dashboard preparation and sharing feedbacks basis on performance of Project Manager â¢ Forecasting data regarding future risks, Project changes and updating the delivery team on timely basis â¢ Good understanding of project management lifecycle â¢ Proven excellence in Risk Management and control â¢ Good understanding of Software Development Lifecycle (SDLC) â¢ Ability to synthesize qualitative and quantitative data quickly and draw meaningful insights â¢ Knowledge of Programme/Project Management methodologies with full project reporting and governance â¢ Ability to work with different cross-functional stakeholders to establish and ensure a reliable and productive working relationship â¢ Strong time management and organizational skills â¢ Multitasking skills and ability to meet deadlines COMPUTER SKILLS AND CERTIFICATI",5,5,0
2,C++ Embedded Engineer,"tci has an immediate need for several c embedded software engineers in clifton nj this is not a  opportunity this is a longterm contract opportunity with the probability of hire in addition to competitive marketrate based pay tci provides all our consultants with comprehensive medicaldental insurance  life insurance and longterm disability benefits
this position requires a secret security clearance or an interim secret clearance prior to start
seeking local candidates only no remote work available
summary

the software engineer is responsible for research design and development of computer software systems in conjunction with hardware product development
responsibilities
 responsible for the design and development of software products for a variety software application
 participates in all phases of the software development life cycle including requirements analysis design implementation integration and test of software products
 applies computer science engineering and mathematical an","KEY COMPETENCIES â¶Multi - Operations Managementâ¶People Management â¶Customer Services - Emails â¶ MIS â¶Vendor & Client Services Managementâ¶Cross Functional Coordinationâ¶Banking & Financial Servicesâ¶ Transaction Monitoring * ATM Operations â¶ & Prepaid Card Operations (Pre-Issuance & Post-Issuance) â¶ POS Operations * JOB PROFILE & SKILLS: â¢ An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. â¢ Extensive experience in managing operations with demonstrated leadership qualities & organisational skills during the tenure. â¢ Managing customer centric operations & ensuring customer satisfaction by achieving service quality norms. â¢ Analyzing of all operational problems, customer complaints and take preventive and corrective actions to resolve the same. â¢ Receive and respond to Key customer inquiries in an effective manner and provide relevant and timely information. â¢ ",5,11,6
3,Software Engineer,"tldr

highimpact software development jobs for smart people

code that saves lives

as a software developer at epic youll write software that impacts the lives of  of americans and  million patients around the world working in your own office surrounded by thousands of highcaliber developers youll use modern development methodologies and employ usercentered design analytics and machine learning tools to drive innovation in healthcare using leadingedge technologies and languages like js ts and c youll invent better ways to reduce medical errors streamline record sharing between hospitals and provide the quality of care a patient deserves

write software for the most innovative health systems on the planet

the topranked health systems in us news and world report are epic customers our community includes major systems like the mayo clinic johns hopkins cleveland clinic and kaiser permanente as well as leading academic medical centers at the university of wisconsin university of michigan ","PERSONAL SKILLS â¢ Quick learner, â¢ Eagerness to learn new things, â¢ Competitive attitude, â¢ Good leadership qualities, â¢ Ability to deal with people diplomatically. PERSONAL DOSSIER Fathers Name: Dhanraj WaghEducation Details 
January 2012 to January 2016 Bachelors of Engineering Engineering Pune, Maharashtra Pune University
January 2012 Higher Secondary Certificate  Nashik, Maharashtra SND College of Engineering and Research Center
January 2010 Secondary School Certificate  Yeola, Maharashtra Swami Muktanand Jr. College
 HSC   Maharashtra State Board
 SSC   Maharashtra State Bard
 BE  Rajapur, Uttar Pradesh Madhyamik Vidya Mandir Rajapur
Testing and Quality Control Engineer 

Testing and Quality Control Engineer - M/S Rakesh Transformer Industries Pvt. Ltd
Skill Details 
Company Details 
company - M/S Rakesh Transformer Industries Pvt. Ltd
description - Responsibilities:
â¢     To conduct Routine test, Type Test (Temperature Rise Test), Special Test on Transformers as per I",5,14,9
4,Director human resources,"the ideal candidate will act as an employee champion and a leader of change you will plan develop organize implement direct and evaluate the organizations human resource function and performance

responsibilities
 provide overall leadership and guidance by overseeing talent acquisition employee career development succession planning retention programs training and leadership development
 function as a strategic human capital business advisor to the senior management team
 develop initiatives policies and programs to complement existing practices and create consistency across the organization

qualifications
 bachelors degree or equivalent experience in human resources or management
  years of professional hr experience ideally from a services oriented business with a combination of corporate and business unit line experience preferred
 excellent written and verbal communication skills
 ability to multitask organize and prioritize work

how to apply

we have a thoughtful process in plac","Education Details 
January 2016 B.Sc. Information Technology Mumbai, Maharashtra University of Mumbai
January 2012 HSC  Allahabad, Uttar Pradesh Allahabad university
January 2010 SSC dot Net Allahabad, Uttar Pradesh Allahabad university
Web designer and Developer Trainer 

Web designer and Developer
Skill Details 
Web design- Exprience - 12 months
Php- Exprience - 12 monthsCompany Details 
company - NetTech India
description - Working. ( salary - 12k)
PERSONAL INTEREST

Listening to Music, Surfing net, Watching Movie, Playing Cricket.
company - EPI Center Academy
description - Working.  ( Salary Contract based)
company - Aptech Charni Road
description - Salary Contract based)",5,2,3
5,Vice President/General Manager (VP/GM),"labcorp is searching for a growth oriented commercially minded handson leader to serve as vice president  general manager vpgm for the north subdivision in the north central division the north subdivision includes chicagoland michigan and wisconsin this north region is the fastest growing subdivision in the north central the vpgm will provide the leadership management and vision necessary to effectively grow the organization and ensure financial strength and operating efficiency the final candidate will the lead the organization to obtain the strategic and operating goals of the business

reporting to the senior vice president of the north central division the vpgm will be responsible for leadership of a  million p  l with  employees both direct line and dotted line by setting comprehensive goals for performance and growth the vpgm will encourage maximum performance and dedication from the team while maintaining the highest level of integrity and leading by example in all areas

respon","Education Details 
January 2016 B.E Information Technology Pune, Maharashtra Sawitribai Phule Pune University
Java Developer 

Java Developer - Vertical Software
Skill Details 
Company Details 
company - Vertical Software
description - Expertise in design and development of web applications using J2EE, Servlets
JSP, JavaScript, HTML, CSS, JQUERY, AJAX, JSON.

Experienced in developing applications using MVC architecture.

Good understanding of Software Development Life Cycle Phases such as Requirement
gathering, analysis, design, development and unit testing.

Languages & open Source Java, J2EE, Spring, Hibernate
Frame Work

Scripting Languages & Server Java JSP, Servlets, DB Connectivity's
Side Program JDBC, JavaScript, jQuery, Ajax, JSON

Application Server TomCat
Database MongoDB, MySql
IDEs Eclipse

1. Project Title: Expense Ledger
Role: Java Developer
Tools and Technologies: Java, Jsp, Servlet, MySql, JavaScript, Json, Jquery, Ajax.

2. Project Title: Trimurti Developer (Realestat",5,7,2
6,Commercial Real Estate Attorney,"job description

we are seeking a commercial real estate attorney to become a part of our team you will represent clients in variety of negotiations and sophisticated transactions

responsibilities
 prepare and draft legal documents on behalf of clients
 advise clients on business and legal transactions
 negotiate a variety of transactions including joint ventures commercial leases financings acquisitions and dispositions
 facilitate and attend closings
 participate in business develop activities

qualifications
  years of legal experience in general commercial real state transactions including joint ventures commercial leases financings acquisitions and dispositions
 familiarity with various transactions legal documents relating to the foregoing practice areas
 strong analytical and problem solving skills
 ability to build rapport with clients
 excellent written and verbal communication skills

company description
we are an entrepreneurial firm that started as inhouse counsel for one ","SKILLS: - 1) Team leading 2) Self-motivated 3) Hard working â Strengths: Ready to learn new Programming Languages, Punctual, Discipline, Respectfulness. DECLARATION:- I hereby inform you that all the statement made above are true with the best of my knowledge and belief. Education Details 
August 2014 to July 2017 MCA Computer Sciene Amravati, Maharashtra SGBAU, Amaravti
Java Web Developer 


Skill Details 
Core Java,JSP,Servlet,Spring,Hibernate,Struts,Javascript- Exprience - 6 monthsCompany Details 
company - Salcluster Technologies
description - 1.  I am Java web developer
2. Jsp , servlet, Sprinng MVC Technologies",14,15,1
7,SR. Web Designer,"type of requisition regular

clearance level must be able to obtain none

job family web design

gdit has over  years of experience supporting the technology science and mission of the environmental protection agency gdit technologists scientists and innovators are experts in moving applications to the cloud modeling massive data sets in highperformance computing environments supporting innovative and bleeding edge technologies and scientific initiatives defending the cyber landscape and driving automation

highlevel skills
 htmlcssjavascript
 drupal 
 section  compliance expertise pertaining to pdfs adobe acrobat pro videos interactive trainings websites and web applications jaws dragon zoomtext articulate
 graphics design adobe photoshop illustrator after effects and lightroom

specific tasks
 designs and builds complex graphics page layouts and animation that suit web pages and enhance its layout to create visual appeal
 creates an advanced detailed draft of the website outlining th","Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- Exprience - Less than 1 year monthsCompany Details 
company - BNY Mellon International Operations (India) Pvt. Ltd
description - Organization: BNY Mellon International Operations (India) Pvt. Ltd.: Sept 2009- till date
BNY Mellon provides a broad range of products and services in the areas of Investment Management, Investment Services and Treasury Services. Our customers are institutions, corporations, and high-net-worth individuals, as well as consultants and advisors who work with them.

Line of Business (LOB): Revenue &Billing Services (R&BS)
Revenue and Billing Services is a Global Center of Excellence that generates invoices and collects fee revenue from Investment Services clients. 218 staff across five locations (Brooklyn, Pittsburgh, Syracuse, Pune, and UK) . Various Businesses supported are Asset Servicing, Corporate Trust, Treasury Services, Bro",5,9,4
8,Sales Associate Full Time - Market Mall,"sales associate

want to be a part of something big now is an amazing time to join our growing family

wow mobile boutique is looking for people who love people and are passionate about helping everyday shoppers connect with the perfect mobile solution through unbiased advice and meaningful conversations

customer experience is what we do as advocates for a better wireless journey our whole team is passionate about retail  focusing on the customers needs and helping them make the right call when selecting a solution for their lifestyle it helps that we are supported by canadas best wireless carriers telus rogers koodo fido and chatr and carry the coolest lineup of accessories

dont have wireless experience dont sweat it we will provide you with all the necessary training and support to help make you successful our focus is on talented individuals who have been successful and continue to have a desire to deliver an exceptional customer experience
 enjoy working in a fun dynamic and resu","Education Details 
 BCA   Vinayaka Missions University
Operations Manager 

Operations Manager
Skill Details 
Operations Management- Exprience - Less than 1 year monthsCompany Details 
company - BNY Mellon International Operations (India) Pvt. Ltd
description - Organization: BNY Mellon International Operations (India) Pvt. Ltd.: Sept 2009- till date
BNY Mellon provides a broad range of products and services in the areas of Investment Management, Investment Services and Treasury Services. Our customers are institutions, corporations, and high-net-worth individuals, as well as consultants and advisors who work with them.

Line of Business (LOB): Revenue &Billing Services (R&BS)
Revenue and Billing Services is a Global Center of Excellence that generates invoices and collects fee revenue from Investment Services clients. 218 staff across five locations (Brooklyn, Pittsburgh, Syracuse, Pune, and UK) . Various Businesses supported are Asset Servicing, Corporate Trust, Treasury Services, Bro",5,0,5
9,Customer Service Representative,"i am sending this one because of your love for dogs the company is in phoenix which is a  hr difference but still thought you may like to consider it they may need east coast time representatives



our opportunity
do you have an infectious personality and a desire to engage in meaningful conversations while helping others if you answered yes this might be the purrfect role for you
chewy is revolutionizing the pet industry as one of the fastestgrowing ecommerce retailers of all time we are seeking a fulltime motivated customer service representatives to join our awardwinning customer service organization
in this role you should be comfortable working primarily from home you will however be expected to commute into the office for events meetings and training sessions this means that the role does require you to live in the state of arizona starting wage is  an hour with opportunities to grow and develop while working remotely
we are not looking for ordertakers or scriptreaders  were sea","TECHNICAL STRENGTHS Computer Language Java/J2EE, Swift, HTML, Shell script, MySQL Databases MySQL Tools SVN, Jenkins, Hudson, Weblogic12c Software Android Studio, Eclipse, Oracle, Xcode Operating Systems Win 10, Mac (High Sierra) Education Details 
June 2016 B.E. Information Technology Goregaon, MAHARASHTRA, IN Vidyalankar Institute of Technology
May 2013   Mumbai, Maharashtra Thakur Polytechnic
May 2010   Mumbai, Maharashtra St. John's Universal School
Java developer 

Java developer - Tech Mahindra
Skill Details 
JAVA- Exprience - 21 months
MYSQL- Exprience - 21 months
DATABASES- Exprience - 17 months
J2EE- Exprience - 17 months
ANDROID- Exprience - 6 monthsCompany Details 
company - Tech Mahindra
description - Team Size: 5
Environment: Java, Mysql, Shell script.
Webserver: Jenkins.
Description: OR-Formatter is an application which takes the input file as Geneva Modified File GMF from Geneva server and reads the data to generate Bill backup and Bill Invoices for Client customers of B",5,0,5
