pair_id,job_title,gold_standard_pct,ai_score_pct,error_margin,raw_score,resume_semantic,skill_match,elapsed_ms,is_soft_env
0,Marketing Specialist,5,0,5,0.018,0.0,0.0,1.26,False
1,Compliance Manager,5,0,5,0.136,0.3932,0.0,383.97,False
2,C++ Embedded Engineer,5,0,5,0.018,0.0,0.0,0.7,False
3,Software Engineer,5,0,5,0.0652,0.1573,0.0,174.97,False
4,Director human resources,5,9,4,0.138,0.0,0.0,0.82,True
5,Vice President/General Manager (VP/GM),5,7,2,0.138,0.0,0.0,0.92,True
6,Commercial Real Estate Attorney,14,8,6,0.138,0.0,0.0,0.85,True
7,SR. Web Designer,5,0,5,0.018,0.0,0.0,0.97,False
8,Sales Associate Full Time - Market Mall,5,0,5,0.0696,0.1719,0.0,188.81,False
9,Customer Service Representative,5,0,5,0.0395,0.0715,0.0,269.9,False
10,Executive Assistant,9,12,3,0.1917,0.5789,0.0,219.24,False
11,"Vice President, Marketing",5,8,3,0.138,0.0,0.0,0.99,True
12,Art director,5,7,2,0.138,0.0,0.0,0.91,True
13,Remote Customer Service Associate,14,0,14,0.018,0.0,0.0,1.04,False
14,R0049: PM Full Time Material Handler,11,8,3,0.138,0.0,0.0,199.19,True
15,Sales Associate,5,0,5,0.018,0.0,0.0,1.04,False
16,MARKETING SPECIALIST,11,8,3,0.138,0.0,0.0,1.07,True
17,Financial Analyst,13,0,13,0.018,0.0,0.0,0.99,False
18,Senior Corporate Recruiter (Contract) - (Remote - US),6,0,6,0.018,0.0,0.0,0.91,False
19,Sales Executive III Client Management,14,0,14,0.018,0.0,0.0,0.91,False
20,Writer / Journalist Internship,5,0,5,0.018,0.0,0.0,0.84,False
21,General Office Clerk,5,0,5,0.018,0.0,0.0,0.83,False
22,CNC Programmer,10,7,3,0.138,0.0,0.0,0.88,True
23,"Director, ACX Creator Marketing",13,0,13,0.018,0.0,0.0,179.42,False
24,Vice President Operations Excellence,12,7,5,0.138,0.0,0.0,1.02,True
25,Bank Teller,14,0,14,0.018,0.0,0.0,1.04,False
26,Corporate Recruiter (Remote),14,0,14,0.0951,0.2569,0.0,212.86,False
27,Remote Patient Advocate Specialist,11,0,11,0.018,0.0,0.0,0.84,False
28,"Attorney, CAMBA Legal Services, Brooklyn",13,14,1,0.1992,0.204,0.0,194.51,True
29,Remote Project Manager,13,0,13,0.0715,0.1782,0.0,150.24,False
30,Escalations Specialist - Customer/Patient Experience Coordinator - Full Time Contract/Remote,13,0,13,0.018,0.0,0.0,1.05,False
31,Chief Financial Officer,5,9,4,0.138,0.0,0.0,1.04,True
32,Account Delivery Manager,13,0,13,0.1113,0.311,0.0,269.49,False
33,Audit Staff Accountant,10,0,10,0.018,0.0,0.0,0.94,False
34,Social Content Creator (TikTok & Reels Specialist),10,0,10,0.0719,0.1797,0.0,227.58,False
35,Commercial Contracts Attorney,5,0,5,0.018,0.0,0.0,0.91,False
36,Senior Software Developer- Full Stack (Remote),21,0,21,0.0948,0.2558,0.0,182.79,False
37,Registered Nurse (RN) - Parma,5,0,5,0.018,0.0,0.0,0.83,False
38,Kitchen Cleaner,14,0,14,0.018,0.0,0.0,0.89,False
39,US Sales & Marketing - Consumer Specialist - Executive Director,8,0,8,0.018,0.0,0.0,0.89,False
40,"Executive Vice President & Chief Executive Officer (CEO), Medical...",16,0,16,0.018,0.0,0.0,0.59,False
41,"Academic Dean, VOICE Charter School",19,0,19,0.018,0.0,0.0,0.93,False
42,"Senior Director, Sales - Retail & E-Commerce (Monsey)",12,0,12,0.018,0.0,0.0,0.9,False
43,"Director, Sales & Marketing",29,0,29,0.1382,0.4007,0.0,83.44,False
44,E-Commerce Manager,20,0,20,0.018,0.0,0.0,0.79,False
45,Senior Accountant (Remote),15,0,15,0.0816,0.212,0.0,139.06,False
46,"Development Associate, Philanthropy",10,0,10,0.018,0.0,0.0,0.9,False
47,Design Consultant- Interior Design/Sales Consultant in Englishtown at Ethan Allen Global Inc.,22,0,22,0.018,0.0,0.0,136.35,False
48,Associate Professor/Professor (TBD) - 230572,7,9,2,0.138,0.0,0.0,0.9,True
49,Data Entry - Work from Home - International Applicants Accepted,22,9,13,0.138,0.0,0.0,0.86,True
50,"Remote - Release Project Manager - San Diego, CA or North Carolina",41,17,24,0.2268,0.2962,0.0,149.88,True
51,"Equity Research Associate, Biotechnology",8,0,8,0.018,0.0,0.0,0.83,False
52,Fraud Awareness Educator – Associate,27,21,6,0.274,0.4532,0.0,68.94,True
53,"Global Business Development, Business Solutions Specialist",16,0,16,0.03,0.0399,0.0,139.72,False
54,Data Entry Clerk,8,0,8,0.018,0.0,0.0,0.62,False
55,Restaurant Operations Manager,20,0,20,0.018,0.0,0.0,0.81,False
56,"Brand Educator - Cleveland, Ohio (Remote)",26,0,26,0.018,0.0,0.0,87.37,False
57,Executive Assistant--Remote,28,7,21,0.138,0.0,0.0,0.84,True
58,Furniture Sales Associate,19,0,19,0.0391,0.0702,0.0,115.34,False
59,Data Entry Specialist,25,0,25,0.1263,0.3611,0.0,133.01,False
